"STATION","NAME","DATE","TMAX","TMIN"
"RSM00028224","PERM, RS","2021-05-05","62",
"RSM00028224","PERM, RS","2021-05-06","54",
"RSM00028224","PERM, RS","2021-05-07","73","36"
"RSM00028224","PERM, RS","2021-05-08","72",
"RSM00028224","PERM, RS","2021-05-09","77","41"
"RSM00028224","PERM, RS","2021-05-10","79","52"
"RSM00028224","PERM, RS","2021-05-11","76","53"
"RSM00028224","PERM, RS","2021-05-12","77","45"
"RSM00028224","PERM, RS","2021-05-13","84","48"
"RSM00028224","PERM, RS","2021-05-14","86","51"
"RSM00028224","PERM, RS","2021-05-15","86","64"
"RSM00028224","PERM, RS","2021-05-16","89","65"
"RSM00028224","PERM, RS","2021-05-17","86",
"RSM00028224","PERM, RS","2021-05-18","71","52"
"RSM00028224","PERM, RS","2021-05-19","73","47"
"RSM00028224","PERM, RS","2021-05-20","79","49"
"RSM00028224","PERM, RS","2021-05-21","78","54"
"RSM00028224","PERM, RS","2021-05-22","70","56"
"RSM00028224","PERM, RS","2021-05-23","68","55"
"RSM00028224","PERM, RS","2021-05-24","82","55"
"RSM00028224","PERM, RS","2021-05-25","64",
"RSM00028224","PERM, RS","2021-05-26",,
"RSM00028224","PERM, RS","2021-05-27",,"44"
"RSM00028224","PERM, RS","2021-05-28",,"43"
"RSM00028224","PERM, RS","2021-05-29","82","52"
"RSM00028224","PERM, RS","2021-05-30","66",
"RSM00028224","PERM, RS","2021-05-31",,"43"
"RSM00028224","PERM, RS","2021-06-03",,"36"
"RSM00028224","PERM, RS","2021-06-04",,"42"
"RSM00028224","PERM, RS","2021-06-05",,"42"
"RSM00028224","PERM, RS","2021-06-06",,"48"
"RSM00028224","PERM, RS","2021-06-07",,"55"
"RSM00028224","PERM, RS","2021-06-08",,"49"
"RSM00028224","PERM, RS","2021-06-09",,"44"
"RSM00028224","PERM, RS","2021-06-10",,"43"
"RSM00028224","PERM, RS","2021-06-11",,"44"
"RSM00028224","PERM, RS","2021-06-12",,"53"
"RSM00028224","PERM, RS","2021-06-13",,"60"
"RSM00028224","PERM, RS","2021-06-14",,"60"
"RSM00028224","PERM, RS","2021-06-15",,"62"
"RSM00028224","PERM, RS","2021-06-16",,"61"
"RSM00028224","PERM, RS","2021-06-17",,
"RSM00028224","PERM, RS","2021-06-18",,"50"
"RSM00028224","PERM, RS","2021-06-19",,"57"
"RSM00028224","PERM, RS","2021-06-20",,"64"
"RSM00028224","PERM, RS","2021-06-21",,"44"
"RSM00028224","PERM, RS","2021-06-22",,"58"
"RSM00028224","PERM, RS","2021-06-23",,
"RSM00028224","PERM, RS","2021-06-24",,"52"
"RSM00028224","PERM, RS","2021-06-25",,"62"
"RSM00028224","PERM, RS","2021-06-26",,"62"
"RSM00028224","PERM, RS","2021-06-27",,"58"
"RSM00028224","PERM, RS","2021-06-28",,"61"
"RSM00028224","PERM, RS","2021-06-29",,"67"
"RSM00028224","PERM, RS","2021-06-30",,"68"
"RSM00028224","PERM, RS","2021-07-01",,"67"
"RSM00028224","PERM, RS","2021-07-02",,"64"
"RSM00028224","PERM, RS","2021-07-03",,"63"
"RSM00028224","PERM, RS","2021-07-04",,
"RSM00028224","PERM, RS","2021-07-05",,"49"
"RSM00028224","PERM, RS","2021-07-06",,"48"
"RSM00028224","PERM, RS","2021-07-07",,"49"
"RSM00028224","PERM, RS","2021-07-08",,"54"
"RSM00028224","PERM, RS","2021-07-09",,"57"
"RSM00028224","PERM, RS","2021-07-10",,"63"
"RSM00028224","PERM, RS","2021-07-11",,"56"
"RSM00028224","PERM, RS","2021-07-12",,"52"
"RSM00028224","PERM, RS","2021-07-13",,
"RSM00028224","PERM, RS","2021-07-14",,"49"
"RSM00028224","PERM, RS","2021-07-15",,"49"
"RSM00028224","PERM, RS","2021-07-16",,"54"
"RSM00028224","PERM, RS","2021-07-17",,"54"
"RSM00028224","PERM, RS","2021-07-18",,
"RSM00028224","PERM, RS","2021-07-19",,"54"
"RSM00028224","PERM, RS","2021-07-20",,"63"
"RSM00028224","PERM, RS","2021-07-21",,
